vial,start.num,start.date,type,wasp,11/6/2023_Z,11/6/2023_H,11/9/2023_Z,11/9/2023_H,11/10/2023_Z,11/10/2023_H,11/13/2023_Z,11/13/2023_H,11/15/2023_Z,11/15/2023_H,11/16/2023_Z,11/16/2023_H,11/20/2023_Z,11/20/2023_H,11/27/2023_Z,11/27/2023_H,11/29/2023_Z,11/29/2023_H,11/30/2023_Z,11/30/2023_H,12/6/2023_Z,12/6/2023_H
1A,50,10/20/2023,ZH,N,21,12,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2A,50,10/20/2023,ZH,N,16,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3A,50,10/20/2023,ZH,N,17,19,2,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
4A,50,10/20/2023,ZH,N,18,14,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
5A,50,10/20/2023,ZH,N,16,19,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
6A,150,10/20/2023,ZH,N,4,4,1,21,0,3,0,6,0,2,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA
7A,150,10/20/2023,ZH,N,16,5,0,25,0,2,0,4,0,2,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
8A,150,10/20/2023,ZH,N,16,13,1,29,0,2,0,4,0,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
9A,150,10/20/2023,ZH,N,13,12,5,16,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10A,150,10/20/2023,ZH,N,19,7,0,18,0,2,0,4,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA
11A,50,11/3/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA
12A,50,11/3/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
13A,50,11/3/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA
14A,50,11/3/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,NA,NA,NA
15A,50,11/3/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,4,0,NA,NA,NA,NA,NA,NA
16A,150,11/15/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,0,7,2
17A,150,11/15/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,0,5,0
18A,150,11/15/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,0,17,3
19A,150,11/15/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6,0,8,4
20A,150,11/15/2023,ZH,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,0,6,3
21A,50,10/25/2023,Z,N,NA,NA,32,NA,5,NA,4,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
22A,50,10/25/2023,Z,N,NA,NA,37,NA,4,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
23A,150,10/25/2023,Z,N,NA,NA,5,NA,1,NA,38,NA,12,NA,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
24A,150,10/25/2023,Z,N,NA,NA,8,NA,2,NA,21,NA,14,NA,4,NA,22,NA,NA,NA,1,NA,NA,NA,NA,NA
25A,50,11/2/2023,Z,Y,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,10,NA,9,NA,2,0,0,NA,NA,NA,NA,NA
26A,50,11/2/2023,Z,Y,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,14,NA,9,NA,NA,NA,0,NA,NA,NA,NA,NA
27A,150,11/2/2023,Z,Y,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,NA,25,NA,19,0,1,NA,NA,NA,NA,NA
28A,150,11/2/2023,Z,Y,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,9,NA,24,NA,NA,NA,2,NA,NA,NA,NA,NA